subject_id,group
0,1
1,2
2,2
3,1
4,3
5,2
6,3
7,2
8,1
9,2
10,3
11,3
12,3
13,2
14,1
15,1
16,2
17,3
18,3
19,2
20,1
21,3
22,1
23,2
24,2
25,2
26,3
27,2
28,3
29,2
30,3
31,2
32,2
33,1
34,3
35,2
36,3
37,3
38,2
39,2
40,3
41,3
42,2
43,3
44,2
45,1
46,1
47,1
48,2
49,1
50,1
51,3
52,1
53,1
54,1
55,3
56,1
57,3
58,1
59,2
60,1
61,3
62,1
63,3
64,1
65,2
66,3
67,3
68,1
69,3
70,1
71,3
72,2
73,3
74,3
75,1
76,1
77,2
78,1
79,1
80,2
81,3
82,3
83,1
84,1
85,3
86,2
87,2
88,2
89,3
90,1
91,3
92,1
93,1
94,2
95,2
96,1
97,3
98,2
99,3
100,1
101,1
102,1
103,2
104,3
105,1
106,1
107,3
108,2
109,3
110,3
111,2
112,2
113,2
114,2
