subject_id,group
0,3
1,1
2,2
3,2
4,3
5,1
6,3
7,2
8,1
9,2
10,1
11,3
12,2
13,1
14,1
15,1
16,1
17,1
18,3
19,1
20,1
21,3
22,3
23,2
24,2
25,2
26,1
27,2
28,3
29,2
30,3
31,1
32,2
33,1
34,1
35,3
36,3
37,3
38,1
39,1
40,2
41,1
42,1
43,1
44,3
45,2
46,2
47,2
48,1
49,3
50,3
51,2
52,1
53,2
54,3
55,3
56,3
57,2
58,3
59,2
60,1
61,2
62,2
63,3
64,3
65,2
66,2
67,3
68,1
69,2
70,2
71,1
72,1
73,2
74,1
75,2
76,1
77,2
78,1
79,2
80,3
81,3
82,1
83,1
84,1
85,2
86,1
87,2
88,3
89,2
90,3
91,3
92,2
93,3
94,3
95,2
96,1
97,2
98,3
99,3
100,2
101,2
102,3
103,1
104,1
105,3
106,3
107,3
108,3
109,2
110,1
111,3
112,3
113,1
114,3
