"","V1","V2","V3","V4","V5"
"1",1,-0.411616151221097,0.812204815912992,-1,-1
"2",1,0.0899487119168043,0.0569893722422421,1,-1
"3",1,-0.158254571259022,-0.0808901516720653,-1,1
"4",1,0.858809718862176,0.562797057908028,-1,1
"5",1,0.882948325015604,0.399992207065225,-1,-1
"6",1,0.718996529001743,-0.35035715950653,-1,-1
"7",1,0.251524526625872,-0.993700485676527,1,1
"8",1,-0.892837419640273,0.712609472218901,1,-1
"9",1,-0.444665744435042,0.0189701998606324,-1,-1
"10",1,0.56535470765084,0.314380726777017,-1,1
"11",1,0.657845560926944,-0.23711702413857,1,1
"12",1,-0.608016037847847,-0.223819893784821,-1,1
"13",1,-0.768233673647046,0.135942857246846,-1,1
"14",1,0.111857514362782,0.555867026560009,-1,1
"15",1,-0.908939823042601,-0.142584438435733,-1,-1
"16",1,0.0139858848415315,0.0926139233633876,-1,-1
"17",1,-0.832137401215732,-0.852593172341585,1,-1
"18",1,-0.650759254582226,-0.189389301463962,1,1
"19",1,0.669385288842022,-0.0461146589368582,-1,1
"20",1,-0.0739392028190196,-0.956257555168122,-1,-1
