iter,best,elapsed,group_1,group_2,group_3
1,0.02691773342519895,8.865292915999817,226.0,159.0,329.0
2,0.02691773342519895,,30.0,56.0,321.0
3,0.02691773342519895,,252.0,312.0,188.0
4,0.026900200867066258,,125.0,182.0,114.0
5,0.026900200867066258,,266.0,34.0,45.0
6,0.026900200867066258,,279.0,10.0,127.0
7,0.026877409010157952,,334.0,272.0,161.0
8,0.026876032504504783,,13.0,181.0,356.0
9,0.026876032504504783,,164.0,119.0,110.0
10,0.026876032504504783,,280.0,1.0,26.0
11,0.026876032504504783,,350.0,36.0,49.0
12,0.026876032504504783,,223.0,177.0,235.0
13,0.026876032504504783,,354.0,126.0,242.0
14,0.026861607115001553,,206.0,342.0,324.0
15,0.026861607115001553,,325.0,149.0,141.0
16,0.026858369534283895,,143.0,160.0,41.0
17,0.026858369534283895,,243.0,301.0,38.0
18,0.026858369534283895,,64.0,205.0,117.0
19,0.02685830356057825,,282.0,89.0,215.0
20,0.02685830356057825,,227.0,176.0,178.0
21,0.026856498766638485,,310.0,332.0,229.0
22,0.026856498766638485,,285.0,20.0,219.0
23,0.026856498766638485,,147.0,47.0,50.0
24,0.026856498766638485,,106.0,115.0,19.0
25,0.026845113210331055,,99.0,95.0,68.0
26,0.026845113210331055,,62.0,155.0,248.0
27,0.026834220946347527,,109.0,57.0,184.0
28,0.026834220946347527,,299.0,52.0,53.0
29,0.026832324509046337,,212.0,245.0,133.0
30,0.026832324509046337,,200.0,355.0,14.0
31,0.026832324509046337,,292.0,170.0,240.0
32,0.026832324509046337,,48.0,156.0,43.0
33,0.026832324509046337,,314.0,144.0,189.0
34,0.026832324509046337,,105.0,263.0,333.0
35,0.026780565167106384,,112.0,328.0,318.0
36,0.026780565167106384,,113.0,281.0,85.0
37,0.026780565167106384,,264.0,78.0,283.0
38,0.026780565167106384,,174.0,349.0,175.0
39,0.026780565167106384,,210.0,108.0,134.0
40,0.026780565167106384,,291.0,339.0,97.0
41,0.026780565167106384,,102.0,142.0,186.0
42,0.026780565167106384,,262.0,37.0,197.0
43,0.026780565167106384,,118.0,224.0,347.0
44,0.026780565167106384,,54.0,313.0,158.0
45,0.026780565167106384,,61.0,192.0,148.0
46,0.026780565167106384,,60.0,208.0,278.0
47,0.026780565167106384,,87.0,289.0,153.0
48,0.026780565167106384,,22.0,231.0,352.0
49,0.026780565167106377,,172.0,51.0,35.0
50,0.026776990679187845,,265.0,300.0,316.0
51,0.026770728144331048,,259.0,302.0,256.0
52,0.026770728144331048,,341.0,4.0,121.0
53,0.026770728144331048,,353.0,101.0,293.0
54,0.026770728144331048,,103.0,346.0,358.0
55,0.026770728144331048,,323.0,351.0,287.0
56,0.02677002074923962,,308.0,185.0,33.0
57,0.0267682895138564,,11.0,104.0,88.0
58,0.026767223187625824,,21.0,124.0,17.0
59,0.026767223187625824,,348.0,320.0,270.0
60,0.026767223187625824,,86.0,18.0,307.0
61,0.026767223187625824,,131.0,306.0,253.0
62,0.02676722318762582,,238.0,79.0,122.0
63,0.02676352955997091,,222.0,98.0,233.0
64,0.02676352955997091,,171.0,12.0,150.0
65,0.02676352955997091,,220.0,315.0,296.0
66,0.02676352955997091,,286.0,237.0,183.0
67,0.02676352955997091,,96.0,5.0,193.0
68,0.02676352955997091,,199.0,75.0,3.0
