subject_id,group_index
0,4
1,4
2,3
3,4
4,1
5,4
6,1
7,1
8,2
9,2
10,3
11,2
12,3
13,4
14,4
15,1
16,1
17,1
18,4
19,3
20,3
21,2
22,2
23,3
24,1
25,3
26,4
27,3
28,1
29,2
30,4
31,2
32,3
33,1
34,2
35,1
36,2
37,3
38,2
39,4
40,1
41,4
42,1
43,1
44,1
45,4
46,3
47,1
48,4
49,2
50,1
51,2
52,2
53,1
54,4
55,3
56,4
57,2
58,4
59,2
60,1
61,1
62,2
63,1
64,2
65,4
66,4
67,2
68,1
69,4
70,2
71,1
72,3
73,2
74,2
75,2
76,2
77,4
78,2
79,4
80,2
81,3
82,4
83,2
84,3
85,2
86,4
87,2
88,2
89,2
90,3
91,1
92,1
93,3
94,4
95,4
96,2
97,4
98,3
99,3
100,4
101,2
102,2
103,3
104,1
105,2
106,2
107,4
108,3
109,1
110,3
111,1
112,3
113,4
114,3
115,2
116,4
117,4
118,1
119,3
120,1
121,2
122,3
123,4
124,1
125,4
126,1
127,1
128,2
129,4
130,4
131,2
132,3
133,4
134,1
135,1
136,1
137,2
138,2
139,1
140,3
141,3
142,1
143,1
144,3
145,4
146,3
147,1
148,2
149,3
150,3
151,4
152,2
153,2
154,4
155,2
156,4
157,3
158,1
159,3
160,1
161,3
162,1
163,4
164,1
165,3
166,3
167,3
168,3
169,3
170,3
171,1
172,1
173,2
174,4
175,1
176,4
177,4
178,3
179,3
180,2
181,1
182,2
183,4
184,4
185,4
186,4
187,4
188,1
189,4
190,3
191,1
192,3
193,2
194,3
195,3
196,4
197,3
198,3
199,2
200,1
201,2
202,3
203,1
204,4
205,4
206,1
207,4
208,3
209,1
210,2
211,1
212,1
213,1
214,1
215,3
216,4
217,4
218,2
219,2
220,2
221,2
222,3
223,4
224,4
225,2
226,3
227,3
228,3
229,4
230,1
231,2
232,4
233,3
234,2
235,2
236,1
237,3
238,3
239,1
