instance_stem,num_subjects,num_groups,num_p,population_size,generations,crossover_rate,mutation_rate,tournament_size,elitism,seed,best_fitness,elapsed_seconds,results_file,assignment_file,arm_type,instance_id,h_file,m_file
H_20_obs_3_id_1,20,2,3,100,200,1.0,0.14,2,3,123,0.48640642416798585,0.738887708999755,results/twoarm/GA_results_H_20_obs_3_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_3_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_20_obs_3_id_1.csv,moments_matrices/M_l_2_0.csv
H_20_obs_3_id_2,20,2,3,100,200,1.0,0.14,2,3,123,0.36353603901880394,0.7512068340001861,results/twoarm/GA_results_H_20_obs_3_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_3_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_20_obs_3_id_2.csv,moments_matrices/M_l_2_0.csv
H_20_obs_3_id_3,20,2,3,100,200,1.0,0.14,2,3,123,0.40441966950830144,0.7545498339986807,results/twoarm/GA_results_H_20_obs_3_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_3_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_20_obs_3_id_3.csv,moments_matrices/M_l_2_0.csv
H_20_obs_3_id_4,20,2,3,100,200,1.0,0.14,2,3,123,0.38067637844602525,0.7556577499999548,results/twoarm/GA_results_H_20_obs_3_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_3_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_20_obs_3_id_4.csv,moments_matrices/M_l_2_0.csv
H_20_obs_3_id_5,20,2,3,100,200,1.0,0.14,2,3,123,0.3490943768330887,0.746180041000116,results/twoarm/GA_results_H_20_obs_3_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_3_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,5,covariate_matrices_twoarm/H_20_obs_3_id_5.csv,moments_matrices/M_l_2_0.csv
H_20_obs_4_id_1,20,2,4,100,200,1.0,0.14,2,3,123,0.47980227025065564,0.765043291999973,results/twoarm/GA_results_H_20_obs_4_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_4_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_20_obs_4_id_1.csv,moments_matrices/M_l_2_1.csv
H_20_obs_4_id_2,20,2,4,100,200,1.0,0.14,2,3,123,0.5041082218665044,0.7605228749998787,results/twoarm/GA_results_H_20_obs_4_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_4_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_20_obs_4_id_2.csv,moments_matrices/M_l_2_1.csv
H_20_obs_4_id_3,20,2,4,100,200,1.0,0.14,2,3,123,0.7529521135107446,0.7732717920007417,results/twoarm/GA_results_H_20_obs_4_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_4_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_20_obs_4_id_3.csv,moments_matrices/M_l_2_1.csv
H_20_obs_4_id_4,20,2,4,100,200,1.0,0.14,2,3,123,0.45750641029485983,0.7593099170007918,results/twoarm/GA_results_H_20_obs_4_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_4_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_20_obs_4_id_4.csv,moments_matrices/M_l_2_1.csv
H_20_obs_4_id_5,20,2,4,100,200,1.0,0.14,2,3,123,0.5952161429341962,0.7674197500000446,results/twoarm/GA_results_H_20_obs_4_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_4_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,5,covariate_matrices_twoarm/H_20_obs_4_id_5.csv,moments_matrices/M_l_2_1.csv
